Date,Open,High,Low,Close,Adj Close,Volume
2024-03-13,140.059998,142.190002,140.009995,140.770004,140.610001,19637000
2024-03-14,142.300003,144.729996,141.485001,144.339996,144.175934,36117900
2024-03-15,143.410004,144.339996,141.130005,142.169998,142.008392,41025900
2024-03-18,149.369995,152.929993,148.139999,148.479996,148.311218,47676700
2024-03-19,148.979996,149.619995,147.009995,147.919998,147.751862,17748400
2024-03-20,148.789993,149.759995,147.664993,149.679993,149.509857,17730000
2024-03-21,150.320007,151.304993,148.009995,148.740005,148.570938,19843900
2024-03-22,150.240005,152.559998,150.089996,151.770004,151.597488,19226300
2024-03-25,150.949997,151.455994,148.800003,151.149994,150.978195,15114700
2024-03-26,151.240005,153.199997,151.029999,151.699997,151.527573,19312700
2024-03-27,152.145004,152.690002,150.130005,151.940002,151.767303,16622000
2024-03-28,152.000000,152.669998,151.330002,152.259995,152.086929,21105600
2024-04-01,151.830002,157.000000,151.649994,156.500000,156.322113,24469800
2024-04-02,154.750000,155.990005,153.460007,155.869995,155.692825,17598100
2024-04-03,154.919998,156.550003,154.132004,156.369995,156.192261,17266200
2024-04-04,155.080002,156.179993,151.880005,151.940002,151.767303,24184800
2024-04-05,151.679993,154.839996,151.080994,153.940002,153.765030,16289800
2024-04-08,154.014999,156.654999,153.990005,156.139999,155.962524,16641500
2024-04-09,157.350006,159.889999,156.639999,158.139999,157.960251,21538100
2024-04-10,157.880005,158.160004,156.199997,157.660004,157.480804,16339200
2024-04-11,158.339996,161.119995,157.929993,160.789993,160.607224,17841700
2024-04-12,159.404999,161.699997,158.600006,159.190002,159.009064,16968200
2024-04-15,160.279999,160.830002,156.149994,156.330002,156.152313,21140900
2024-04-16,155.639999,157.229996,155.050003,156.000000,155.822678,15413200
2024-04-17,157.190002,158.681000,156.134995,156.880005,156.701691,16237800
2024-04-18,156.925003,158.485001,156.210007,157.460007,157.281021,14016100
2024-04-19,157.750000,157.990005,153.910004,155.720001,155.542999,20063900
2024-04-22,156.009995,159.184998,155.660004,157.949997,157.770462,17243900
2024-04-23,158.589996,160.479996,157.964996,159.919998,159.738220,16115400
2024-04-24,159.089996,161.389999,158.820007,161.100006,160.916885,19485700
2024-04-25,153.360001,158.279999,152.768005,157.949997,157.770462,36197800
2024-04-26,175.990005,176.419998,171.399994,173.690002,173.492569,56500800
2024-04-29,170.770004,171.380005,167.059998,167.899994,167.709152,35914600
2024-04-30,167.380005,169.869995,164.500000,164.639999,164.452866,29420800
2024-05-01,166.179993,168.809998,164.899994,165.570007,165.381805,25223200
2024-05-02,166.669998,168.529999,165.690002,168.460007,168.268524,17041100
2024-05-03,169.539993,169.850006,164.979996,168.990005,168.797928,22767100
2024-05-06,169.220001,169.899994,167.889999,169.830002,169.636963,15147900
2024-05-07,170.119995,173.470001,170.000000,172.979996,172.783371,21102400
2024-05-08,170.750000,171.908997,170.522003,171.160004,170.965454,14569900
2024-05-09,171.149994,172.440002,169.929993,171.580002,171.384979,11937700
2024-05-10,169.690002,171.339996,167.910004,170.289993,170.096436,18740500
2024-05-13,165.847000,170.949997,165.759995,170.899994,170.705734,19648600
2024-05-14,171.589996,172.779999,170.419998,171.929993,171.734573,18729500
2024-05-15,172.300003,174.046005,172.029999,173.880005,173.682358,20958200
2024-05-16,174.600006,176.339996,174.050003,175.429993,175.230591,17247300
2024-05-17,175.550003,177.494995,174.979996,177.289993,177.088470,16546400
2024-05-20,177.309998,179.949997,177.225006,178.460007,178.257156,17495100
2024-05-21,178.399994,179.820007,177.309998,179.539993,179.335922,14706000
2024-05-22,178.399994,178.852005,176.779999,178.000000,177.797668,16189400
2024-05-23,178.779999,179.910004,174.539993,175.059998,174.861008,14928400
2024-05-24,176.520004,177.304001,175.199997,176.330002,176.129578,11400600
2024-05-28,175.740005,178.509995,175.679993,178.020004,177.817657,15655300
2024-05-29,176.809998,178.229996,176.259995,177.399994,177.198349,15023800
2024-05-30,176.690002,176.690002,173.229996,173.559998,173.362717,18844000
2024-05-31,173.399994,174.419998,170.970001,173.960007,173.762268,28085200
